# Derived from google/mozc emoji_data.tsv, revision 9fbd649bea4c5e99cd8ad5e487213b26a953a376
# Copyright 2010-2018, Google Inc. All rights reserved.
# License: BSD-3-Clause; see THIRD_PARTY_LICENSES for full terms.
# Unicode CLDR 46.1; Copyright © 2004-2024 Unicode, Inc.
# License: Unicode-3.0; see THIRD_PARTY_LICENSES for full terms.
# azooKey porter version: 1
# Emoji version ceiling: 15.0
# Product aliases: 😄 = わらい / smile (preferred equal match).
#️⃣	かこみすうじ|しゃーぷ|しゃーぷだいやる		絵文字	1874
*️⃣	かこみすうじ		絵文字	1873
0️⃣	かこみすうじ		絵文字	1872
1️⃣	いち|かこみすうじ		絵文字	1871
2️⃣	かこみすうじ|に		絵文字	1870
3️⃣	かこみすうじ|さん		絵文字	1869
4️⃣	かこみすうじ|よん		絵文字	1868
5️⃣	かこみすうじ|ご		絵文字	1867
6️⃣	かこみすうじ|ろく		絵文字	1866
7️⃣	かこみすうじ|なな		絵文字	1865
8️⃣	かこみすうじ|はち		絵文字	1864
9️⃣	かこみすうじ|きゅう		絵文字	1863
©️	きごう|こぴーらいと|ちょさくけん|ちょさくけんまーく		絵文字	1862
®️	あーるまーく|きごう|とうろくしょうひょう|とうろくしょうひょうまーく		絵文字	1861
‼️	えくすくらめーしょんまーく|かんたんふ|きごう|にじゅうかんたんふ|びっくりまーく|やくもの		絵文字	1860
⁉️	かんたんふぎもんふ|きごう|はてなまーく|びっくりまーく		絵文字	1859
™️	きごう|しょうひょう|しょうひょうまーく|とれーどまーく		絵文字	1858
ℹ️	あんないじょ|いんふぉめーしょん|いんふぉめーしょんしんぼる|じょうほう		絵文字	1857
↔️	さゆう|さゆうやじるし|やじるし|やじるしさゆう		絵文字	1856
↕️	じょうげ|じょうげやじるし|やじるし|やじるしじょうげ		絵文字	1855
↖️	ひだりうえ|ひだりうえやじるし|ほくせい|やじるし		絵文字	1854
↗️	ほくとう|みぎうえ|みぎうえやじるし|やじるし		絵文字	1853
↘️	なんとう|みぎした|みぎしたやじるし|やじるし		絵文字	1852
↙️	なんせい|ひだりした|ひだりしたやじるし|やじるし		絵文字	1851
↩️	かーぶ|きょくせん|ひだり|みぎかーぶやじるし|やじるし		絵文字	1850
↪️	かーぶ|きょくせん|ひだりかーぶやじるし|みぎ|やじるし		絵文字	1849
⌚️	うぉっち|うでどけい|じかん|とけい		絵文字	1848
⌛️	すな|すなどけい|たいまー|とけい		絵文字	1847
⌨️	きーぼーど|こんぴゅーたー|ぱそこん|ぴーしー		絵文字	1846
⏏️	いじぇくと|とりだし|とりだしぼたん|ぼたん		絵文字	1845
⏩️	はやおくり|はやおくりぼたん|ばいそく|ぼたん|みぎ|やじるし		早送り	1844
⏪️	はやもどし|はやもどしぼたん|ばいそく|ひだり|まきもどし|もどる|やじるし		巻き戻し	1843
⏫️	うえ|こうそくじょうぼたん|にじゅう|ぼたん|やじるし		上二重三角	1842
⏬️	こうそくしたぼたん|した|にじゅう|ぼたん|やじるし		下二重三角	1841
⏭️	つぎのきょくぼたん|つぎのしーん|つぎのとらっく|ぼたん|やじるし		絵文字	1840
⏮️	ぼたん|まえのきょくぼたん|まえのしーん|まえのとらっく|やじるし		絵文字	1839
⏯️	いちじていし|いちじていしぼたん|さいせい|さいせいぼたん|ぼたん|やじるし		絵文字	1838
⏰️	あらーむ|じかん|とけい|めざまし|めざましどけい		時計	1837
⏱️	すとっぷうぉっち|たいむ|とけい		絵文字	1836
⏲️	たいまー|とけい		絵文字	1835
⏳️	じかん|すな|すながおちているすなどけい|すなどけい|たいまー|とけい		砂時計	1834
⏸️	いちじていし|いちじていしぼたん|ぼたん|ぽーず		絵文字	1833
⏹️	しかく|すとっぷ|ていし|ていしぼたん|ぼたん		絵文字	1832
⏺️	ぼたん|まる|ろくおん|ろくおんろくがぼたん|ろくが		絵文字	1831
Ⓜ️	ちかてつ|まる|まるいえむまーく		絵文字	1830
▪️	くろ|くろしかくしょう|しかく|せいほうけい		絵文字	1829
▫️	しかく|しろ|しろしかくしょう|せいほうけい		絵文字	1828
▶️	さいせい|さいせいぼたん|つぎへ|ぷれい|ぼたん|みぎむきさんかく|やじるし		絵文字	1827
◀️	ぎゃくさいせい|ぎゃくさいせいぼたん|ひだりむきさんかく|ぼたん|まきもどし|もどる|やじるし		絵文字	1826
◻️	しかく|しろ|しろしかくだい|せいほうけい		絵文字	1825
◼️	くろ|くろしかくだい|しかく|せいほうけい		絵文字	1824
◽️	しかく|しろ|しろしかくちゅう|せいほうけい		絵文字	1823
◾️	くろ|くろしかくちゅう|しかく|せいほうけい		絵文字	1822
☀️	たいよう|てんき|にっこう|はれ		絵文字	1821
☁️	くも|くもり|てんき		絵文字	1820
☂️	あめ|かさ|てんき|もちもの		絵文字	1819
☃️	ゆき|ゆきだるま|ゆきだるまとゆき		絵文字	1818
☄️	うちゅう|すいせい		絵文字	1817
☎️	おやき|くろでんわ|こていでんわ|でんわ|ぷっしゅほん|ぼたんしきでんわ		絵文字	1816
☑️	きごう|すみ|ちぇっく|ちぇっくぼっくす|ちぇっくまーく		絵文字	1815
☔️	あまつぶ|あめ|かさ|かさとあめ|てんき|もちもの		絵文字	1814
☕️	あたたかいのみもの|かっぷ|かふぇ|かふぇいん|きっさてん|こうちゃ|こーひー|のみもの|ほっとどりんく		絵文字	1813
☘️	くさ|くろーばー|しょくぶつ|は		絵文字	1812
☝️	うえ|うえゆびさし|て|ひとさしゆび|ゆびさし		絵文字	1811
☠️	かお|がいこつ|し|すかる|どくろ|どくろとほね|ほね		絵文字	1810
☢️	きけん|ほうしゃせい|ほうしゃせん|ほうしゃのう		絵文字	1809
☣️	きけん|ばいおはざーど|ゆうがいぶっしつ		絵文字	1808
☦️	きりすときょう|しゅうきょう|じゅうじか|はったんじゅうじか		絵文字	1807
☪️	いすらむきょう|しゅうきょう|ほし|ほしとみかづき|みかづき|むすりむ		絵文字	1806
☮️	ぴーすまーく|へいわ|へいわのしんぼる		絵文字	1805
☯️	いんやん|いんよう|しゅうきょう|どうきょう		絵文字	1804
☸️	しゅうきょう|てんぽうりん|ぶっきょう|ほうりん		絵文字	1803
☹️	かお|かなしい|こまった|こまったかお|しかめつら		絵文字	1802
☺️	えがお|かお|すまいりー|すまいる|はっぴー|ほっ		絵文字	1801
♀️	おんな|しんぼる|じょせい|じょせいのまーく		絵文字	1800
♂️	おとこ|しんぼる|だんせい|だんせいのまーく		絵文字	1799
♈️	おひつじざ|せいざ		絵文字	1798
♉️	おうしざ|せいざ		絵文字	1797
♊️	せいざ|ふたござ		絵文字	1796
♋️	かにざ|せいざ		絵文字	1795
♌️	ししざ|せいざ		絵文字	1794
♍️	おとめざ|せいざ		絵文字	1793
♎️	せいざ|てんびんざ		絵文字	1792
♏️	さそりざ|せいざ		絵文字	1791
♐️	いてざ|せいざ		絵文字	1790
♑️	せいざ|やぎざ		絵文字	1789
♒️	せいざ|みずがめざ		絵文字	1788
♓️	うおざ|せいざ		絵文字	1787
♟️	こま|すてごま|ちぇす|ちぇすのこま		絵文字	1786
♠️	かーど|すぺーど|とらんぷ		絵文字	1785
♣️	かーど|くらぶ|くろーばー|とらんぷ		絵文字	1784
♥️	かーど|とらんぷ|はーと		絵文字	1783
♦️	かーど|だいあ|だいや|とらんぷ		絵文字	1782
♨️	いいきぶん|おんせん|おんせんまーく|ゆげ		絵文字	1781
♻️	さいせい|さいりよう|じゅんかんやじるし|りさいくる|りさいくるまーく		絵文字	1780
♾️	えいえん|ばんぶつ|むげん|むげんだい		絵文字	1779
♿️	くるまいす|ばりあふりー|ばりやふりー		絵文字	1778
⚒️	かなづち|こうぐ|つるはし|とんかち|はんまー|はんまーとつるはし		絵文字	1777
⚓️	いかり|ふね|みなと		絵文字	1776
⚔️	かたな|くろすしたけん|けん|つるぎ|ぶき		絵文字	1775
⚕️	あすくれぴおすのつえ|いしゃ|いりょう|いりょうのしんぼる|ちりょう		絵文字	1774
⚖️	かがく|じっけん|せいざ|てんびん|てんびんざ|はかり|ばらんす		絵文字	1773
⚗️	かがく|じっけん|じょうりゅうき		絵文字	1772
⚙️	ぎあ|こうぐ|はぐるま		絵文字	1771
⚛️	げんし|げんしのしんぼる|げんそ|ぶんし|むしんろん		絵文字	1770
⚜️	えんぶれむ|ふらんすおうけ|ふるーるどりす|もんしょう|ゆり		絵文字	1769
⚠️	きけん|けいこく|ちゅうい|ひょうしき		絵文字	1768
⚡️	いなずま|いなづま|かみなり|きけん|こうでんあつ|でんき		絵文字	1767
⚧️	しんぼる|せいべつ|てぃーじー|とらんすじぇんだーのまーく		絵文字	1766
⚪️	しろ|しろいまる|まる|まるいぼたん		絵文字	1765
⚫️	くろ|くろいまる|くろまる|まる|まるいぼたん		絵文字	1764
